show_id,director_1,director_2
s1,Kirsten Johnson,NULL
s2,NULL,NULL
s3,Julien Leclercq,NULL
s4,NULL,NULL
s5,NULL,NULL
s6,Mike Flanagan,NULL
s7,Robert Cullen,José Luis Ucha
s8,Haile Gerima,NULL
s9,Andy Devonshire,NULL
s10,Theodore Melfi,NULL
s11,NULL,NULL
s12,Kongkiat Komesiri,NULL
s13,Christian Schwochow,NULL
s14,Bruno Garotti,NULL
s15,NULL,NULL
s16,NULL,NULL
s17,Pedro de Echave García,Pablo Azorín Williams
s18,NULL,NULL
s19,Adam Salky,NULL
s20,NULL,NULL
s21,Olivier Megaton,NULL
s22,NULL,NULL
s23,K.S. Ravikumar,NULL
s24,Alex Woo,Stanley Moore
s25,S. Shankar,NULL
s26,NULL,NULL
s27,Rajiv Menon,NULL
s28,Dennis Dugan,NULL
s29,Scott Stewart,NULL
s30,Robert Luketic,NULL
s31,Ashwiny Iyer Tiwari,Abhishek Chaubey
s32,NULL,NULL
s33,NULL,NULL
s34,NULL,NULL
s35,NULL,NULL
s36,Daniel Sandu,NULL
s37,Cédric Jimenez,NULL
s38,NULL,NULL
s39,George Nolfi,NULL
s40,NULL,NULL
s41,NULL,NULL
s42,Steven Spielberg,NULL
s43,Jeannot Szwarc,NULL
s44,Joe Alves,NULL
s45,Joseph Sargent,NULL
s46,Tyler Greco,NULL
s47,Daniel Espinosa,NULL
s48,Bunmi Ajakaiye,NULL
s49,Antoine Fuqua,NULL
s50,NULL,NULL
s51,NULL,NULL
s52,Toshiya Shinohara,NULL
s53,Toshiya Shinohara,NULL
s54,Toshiya Shinohara,NULL
s55,Toshiya Shinohara,NULL
s56,NULL,NULL
s57,Masahiko Murata,NULL
s58,Hajime Kamegaki,NULL
s59,Masahiko Murata,NULL
s60,Hajime Kamegaki,NULL
s61,Masahiko Murata,NULL
s62,Hirotsugu Kawasaki,NULL
s63,Toshiyuki Tsuru,NULL
s64,Tensai Okamura,NULL
s65,David Yarovesky,NULL
s66,NULL,NULL
s67,NULL,NULL
s68,NULL,NULL
s69,Hanns-Bruno Kammertöns,Vanessa Nöcker
s70,NULL,NULL
s71,NULL,NULL
s72,David A. Vargas,NULL
s73,NULL,NULL
s74,Kemi Adetiba,NULL
s75,NULL,NULL
s76,Ben Simms,NULL
s77,NULL,NULL
s78,Prakash Satam,NULL
s79,Delhiprasad Deenadayalan,NULL
s80,Delhiprasad Deenadayalan,NULL
s81,Tomer Eshed,NULL
s82,Cedric Nicolas-Troyan,NULL
s83,NULL,NULL
s84,NULL,NULL
s85,JJC Skillz,Funke Akindele
s86,NULL,NULL
s87,Thomas Sieben,NULL
s88,NULL,NULL
s89,Marcus Clarke,NULL
s90,NULL,NULL
s91,Alice Waddington,NULL
s92,Mona Achache,Patricia Tourancheau
s93,NULL,NULL
s94,Alexis Almström,NULL
s95,Raja Gosnell,NULL
s96,NULL,NULL
s97,Stephen Kijak,NULL
s98,NULL,NULL
s99,NULL,NULL
s100,NULL,NULL
s101,NULL,NULL
s102,Chapman Way,Maclain Way
s103,Jason Hehir,NULL
s104,Yemi Amodu,NULL
s105,NULL,NULL
s106,Lijo Jose Pellissery,NULL
s107,NULL,NULL
s108,David de Vos,NULL
s109,NULL,NULL
s110,NULL,NULL
